Gene_Symbol,Uniprot_Acc,Omim ID,Ensemble Gene ID
SLC12A2,P55011,600840,ENSG00000064651
HOXD13,P35453,142989,ENSG00000128714
KDM1A,O60341,609132,ENSG00000004487
SOX1,O00570,602148,ENSG00000182968
SOX2,P48431,184429,ENSG00000181449
SOX3,P41225,313430,ENSG00000134595
SOX15,O60248,601297,ENSG00000129194
PHOX2B,Q99453,603851,ENSG00000109132
ALX4,Q9H161,605420,ENSG00000052850
ALX1,Q15699,601527,ENSG00000180318
PRRX1,P54821-2,167420,ENSG00000116132
ARX,Q96QS3,300382,ENSG00000004848
SHOX2,O60902,602504,ENSG00000168779
PRRX2,Q99811,604675,ENSG00000167157
SRP14,P37108,600708,ENSG00000140319
SLC15A4,Q8N697,615806,ENSG00000139370
NUP133,Q8WUM0,607613,ENSG00000069248
IRS2,Q9Y4H2,600797,ENSG00000185950
RPL4,P36578,180479,ENSG00000174444
KHSRP,Q92945,603445,ENSG00000088247
FUBP3,Q96I24,603536,ENSG00000107164
FUBP1,Q96AE4-2,603444,ENSG00000162613
FUBP1,Q96AE4,603444,ENSG00000162613
MMP24,Q9Y5R2,604871,ENSG00000125966
MMP14,P50281,600754,ENSG00000157227
MMP15,P51511,602261,ENSG00000102996
SH3RF3,Q8TEJ3,618933,ENSG00000172985
SH3RF1,Q7Z6J0,618642,ENSG00000154447
SH3RF2,Q8TEC5,613377,ENSG00000156463
MTMR14,Q8NCE2,611089,ENSG00000163719
SLC19A2,O60779,603941,ENSG00000117479
CLPX,O76031,615611,ENSG00000166855
ATXN7,O15265-2,607640,ENSG00000163635
CACTIN,Q8WUQ7-2,618536,ENSG00000105298
NCL,P19338,164035,ENSG00000115053
NCL,H7BY16,164035,ENSG00000115053
UNC119,Q13432,604011,ENSG00000109103
RBM42,Q9BTD8,613232,ENSG00000126254
RCC2,Q9P258,609587,ENSG00000179051
CHPF2,Q9P2E5,608037,ENSG00000033100
TAL1,P17542,187040,ENSG00000162367
LYL1,P12980,151440,ENSG00000104903
IPO5,O00410-3,602008,ENSG00000065150
SORT1,Q99523,602458,ENSG00000134243
LEMD3,Q9Y2U8,607844,ENSG00000174106
HSH2D,Q96JZ2-2,608349,ENSG00000196684
HSH2D,K7ERI2,608349,ENSG00000196684
GLRX5,Q86SX6,609588,ENSG00000182512
RHBDF1,Q96CC6,614403,ENSG00000007384
RIN1,Q13671,605965,ENSG00000174791
PRDX5,P30044,606583,ENSG00000126432
NCOA2,Q15596,601993,ENSG00000140396
NCOA1,Q15788,602691,ENSG00000084676
NCOA3,Q9Y6Q9,601937,ENSG00000124151
PDLIM3,Q53GG5-2,605889,ENSG00000154553
EP400,Q96L91,606265,ENSG00000183495
MSH6,P52701,600678,ENSG00000116062
MSH3,P20585,600887,ENSG00000113318
BICC1,Q9H694,614295,ENSG00000122870
UBQLN4,Q9NRR5,605440,ENSG00000160803
UBQLN1,Q9UMX0,605046,ENSG00000135018
UBQLN1,Q9UMX0-2,605046,ENSG00000135018
UBQLN3,Q9H347,605473,ENSG00000175520
UBQLN2,Q9UHD9,300264,ENSG00000188021
SH3PXD2B,A1X283,613293,ENSG00000174705
SH3PXD2A,Q5TCZ1,619455,ENSG00000107957
TRUB1,Q8WWH5,610726,ENSG00000165832
DMRTB1,Q96MA1,614805,ENSG00000143006
ZBTB11,O95625,618181,ENSG00000066422
MICAL1,Q8TDZ2-4,607129,ENSG00000135596
MICAL3,Q7RTP6,608882,ENSG00000243156
MICAL2,O94851,608881,ENSG00000133816
MICAL2,O94851-4,608881,ENSG00000133816
PDCD7,Q8N8D1,608138,ENSG00000090470
FAM110A,Q9BQ89,611393,ENSG00000125898
GNG2,G3V2N0,606981,ENSG00000186469
ZFPL1,O95159,619397,ENSG00000162300
E2F5,Q15329,600967,ENSG00000133740
E2F4,Q16254,600659,ENSG00000205250
SPIDR,Q14159,615384,ENSG00000164808
EDC4,Q6P2E9,606030,ENSG00000038358
MAGED2,Q9UNF1,300470,ENSG00000102316
MAGED1,Q9Y5V3-2,300224,ENSG00000179222
MAGED4,Q96JG8-4,300702,ENSG00000154545
TRO,Q12816,300132,ENSG00000067445
NCKIPSD,Q9NZQ3-2,606671,ENSG00000213672
NCKIPSD,Q9NZQ3,606671,ENSG00000213672
PFDN4,Q9NQP4,604898,ENSG00000101132
TDP2,O95551-2,605764,ENSG00000111802
INPPL1,O15357,600829,ENSG00000165458
INPP5D,Q92835,601582,ENSG00000168918
BCHE,P06276,177400,ENSG00000114200
TXLNB,Q8N3L3,611438,ENSG00000164440
TXLNG,Q9NUQ3,300677,ENSG00000086712
TXLNA,P40222,608676,ENSG00000084652
N4BP2L2,Q92802,615788,ENSG00000244754
CNP,P09543,123830,ENSG00000173786
N4BP2,Q86UW6,619139,ENSG00000078177
CDC27,P30260-2,116946,ENSG00000004897
CAMSAP1,Q5T5Y3-3,613774,ENSG00000130559
CAMSAP3,Q9P1Y5,612685,ENSG00000076826
CAMSAP2,Q08AD1,613775,ENSG00000118200
U2SURP,O15042,617849,ENSG00000163714
SRSF9,Q13242,601943,ENSG00000111786
SRSF1,Q07955,600812,ENSG00000136450
EXOSC10,Q01780,605960,ENSG00000171824
TMEM102,Q8N9M5,613936,ENSG00000181284
